symbol,SL,TP1
ABT,127.87,132.5
AMD,106.59,119.0
AVUV,95.62,100.48
AXP,305.5,320.0
BA,177.5,185.0
BLK,954.0,1052.0
BRK.B,466.5,479.0
CAT,347.6,390
COST,1046.0,1070.0
CRM,318.0,360.0
INTC,22,23.44
IVW,104.45,107.0
IWM,220.8,230.0
JEF,70.84,77.0
JEPI,58.6,60.0
JPM,269.0,277.0
KO,65.8,71.0
LLY,840.0,897.0
MCD,301.0,315.0
MSFT,407.0,440.0
PG,166.32,175.0
QQQ,521.7,532.0
QUBT,6.38,16.3
SOFI,13.49,16.45
SPMO,101.9,105.0
SPY,600.0,610.0
TQQQ,82.15,88.43
VT,121.2,123.0
VTI,297.0,302.0
WMT,101.0,105.0
XYZ,80.15,90.0
YALL,38.45,39.5
